"Story","Title","Result","Date","Stability","Duration (s)"
"Create user.","Create a normal user.","SUCCESS","2022-10-17T01:05:22.603412Z[Etc/UTC]","0.0","9.75"
"Create user.","Try to create a user without data.","SUCCESS","2022-10-17T01:05:32.385238Z[Etc/UTC]","0.0","1.14"
"Delete user.","Delete an user.","SUCCESS","2022-10-17T01:05:33.550105Z[Etc/UTC]","0.0","2.88"
"Delete user.","Delete an user - App-id not exists in header configuration.","SUCCESS","2022-10-17T01:05:36.46632Z[Etc/UTC]","0.0","0.62"
"Delete user.","Delete an user - App-id missing in header configuration.","SUCCESS","2022-10-17T01:05:37.098124Z[Etc/UTC]","0.0","0.86"
"Delete user.","Delete a user with an invalid identification.","SUCCESS","2022-10-17T01:05:37.974141Z[Etc/UTC]","0.0","0.43"
"Delete user.","Delete a user with an identification deleted previously.","SUCCESS","2022-10-17T01:05:38.42074Z[Etc/UTC]","0.0","2.9"
"Delete user.","Try to delete some user without user identification.","SUCCESS","2022-10-17T01:05:41.338597Z[Etc/UTC]","0.0","0.46"
"Search user.","Search all users.","SUCCESS","2022-10-17T01:05:41.817184Z[Etc/UTC]","0.0","0.57"
"Search user.","Search an user by id.","SUCCESS","2022-10-17T01:05:42.402838Z[Etc/UTC]","0.0","2.52"
"Update user.","Update a normal user using all fields.","SUCCESS","2022-10-17T01:05:44.940145Z[Etc/UTC]","0.0","22.88"
