"Story","Title","Result","Date","Stability","Duration (s)"
"Create user.","Create a normal user.","SUCCESS","2022-10-17T01:11:17.272689Z[Etc/UTC]","0.0","9.96"
"Create user.","Try to create a user without data.","SUCCESS","2022-10-17T01:11:27.255047Z[Etc/UTC]","0.0","1.13"
"Delete user.","Delete an user.","SUCCESS","2022-10-17T01:11:28.41793Z[Etc/UTC]","0.0","1.64"
"Delete user.","Delete an user - App-id not exists in header configuration.","SUCCESS","2022-10-17T01:11:30.0926Z[Etc/UTC]","0.0","0.84"
"Delete user.","Delete an user - App-id missing in header configuration.","SUCCESS","2022-10-17T01:11:30.950791Z[Etc/UTC]","0.0","0.52"
"Delete user.","Delete a user with an invalid identification.","SUCCESS","2022-10-17T01:11:31.485678Z[Etc/UTC]","0.0","0.57"
"Delete user.","Delete a user with an identification deleted previously.","SUCCESS","2022-10-17T01:11:32.0666Z[Etc/UTC]","0.0","3.1"
"Delete user.","Try to delete some user without user identification.","SUCCESS","2022-10-17T01:11:35.181919Z[Etc/UTC]","0.0","0.6"
"Search user.","Search all users.","SUCCESS","2022-10-17T01:11:35.795811Z[Etc/UTC]","0.0","0.82"
"Search user.","Search an user by id.","SUCCESS","2022-10-17T01:11:36.626653Z[Etc/UTC]","0.0","1.95"
"Update user.","Update a normal user using all fields.","SUCCESS","2022-10-17T01:11:38.594024Z[Etc/UTC]","0.0","2.12"
